Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
20000,0.5,0% Eps-Greedy / 100% Random,50/50,1,102.86092484280807,2.012250424829739,0,-0.1,18.493290307632577,18.405547220248025
4000,0.7,0% Eps-Greedy / 100% Random,50/50,1,111.27737838008608,2.046406885419702,0,-0.1,4.792633492939261,4.704890405554702
8000,0.7,0% Eps-Greedy / 100% Random,50/50,1,116.35372630717967,2.065780296421476,0,-0.1,4.792633492939261,4.704890405554702
12000,0.7,0% Eps-Greedy / 100% Random,50/50,1,114.04356235225791,2.057070774805123,0,-0.1,4.792633492939262,4.704890405554702
16000,0.7,0% Eps-Greedy / 100% Random,50/50,1,124.13279932021263,2.0938865492804286,0,-0.1,4.792633492939261,4.704890405554702
20000,0.7,0% Eps-Greedy / 100% Random,50/50,1,100.48061271320215,2.002082274652987,0,-0.1,20.51102340216014,20.42328031477558
4000,0.9,0% Eps-Greedy / 100% Random,50/50,1,97.09521480223978,1.9871978268576298,0,-0.1,18.25664259901515,18.16889951163059
8000,0.9,0% Eps-Greedy / 100% Random,50/50,1,115.10989294893037,2.061112650028565,0,-0.1,4.792633492939261,4.704890405554702
12000,0.9,0% Eps-Greedy / 100% Random,50/50,1,105.21096495676323,2.0220610038107054,0,-0.1,18.493290307632577,18.405547220248017
16000,0.9,0% Eps-Greedy / 100% Random,50/50,1,114.15247755981403,2.0574853418348313,0,-0.1,4.792633492939261,4.704890405554702
20000,0.9,0% Eps-Greedy / 100% Random,50/50,1,100.34198258427351,2.0014826776853907,0,-0.1,15.806490911922753,15.718747824538195
4000,0.1,100% Eps-Greedy,20/80,0,65.79363605419906,1.8181838881396861,0,-0.1,10.165158650013671,10.077415562629113
8000,0.1,100% Eps-Greedy,20/80,0,65.66500399749683,1.817333975038061,0,-0.1,7.2103213110132085,7.12257822362865
12000,0.1,100% Eps-Greedy,20/80,0,65.68367135772307,1.8174574194743391,0,-0.1,8.94508917217172,8.857346084787162
16000,0.1,100% Eps-Greedy,20/80,0,65.71019547756734,1.817632759150682,0,-0.1,8.046251080985815,7.9585079936012555
20000,0.1,100% Eps-Greedy,20/80,0,65.75318004249033,1.8179167615953855,0,-0.1,7.9959715367752935,7.9082284493907355
4000,0.3,100% Eps-Greedy,20/80,0,66.3881536620528,1.82209059053979,0,-0.1,9.33988382685713,9.252140739472571
8000,0.3,100% Eps-Greedy,20/80,0,66.14477764017154,1.820495560819989,0,-0.1,13.39296155344439,13.30521846605983
12000,0.3,100% Eps-Greedy,20/80,0,66.06614811558453,1.8199789866794827,0,-2.9934010000000004,25.256645693487723,22.275501606103163
16000,0.3,100% Eps-Greedy,20/80,0,65.98494122587971,1.819444834197847,0,-2.9934010000000004,32.429220778072356,29.448076690687795
20000,0.3,100% Eps-Greedy,20/80,0,65.99120676436169,1.8194860702671272,0,-2.9934010000000004,32.429220778072356,29.448076690687795
4000,0.5,100% Eps-Greedy,20/80,0,66.19329834245829,1.8208140220647815,0,-2.9934010000000004,13.713857818256841,10.73271373087228
8000,0.5,100% Eps-Greedy,20/80,0,66.2787557775516,1.8213743470011383,0,-2.9934010000000004,32.429220778072356,29.448076690687795
12000,0.5,100% Eps-Greedy,20/80,0,66.1127581880115,1.8202852760665151,0,-2.9934010000000004,32.429220778072356,29.448076690687795
16000,0.5,100% Eps-Greedy,20/80,0,66.30888268901414,1.8215717100702973,0,-2.9934010000000004,32.429220778072356,29.448076690687795
20000,0.5,100% Eps-Greedy,20/80,0,66.19807834883227,1.820845382572459,0,-2.9934010000000004,32.429220778072356,29.448076690687795
4000,0.7,100% Eps-Greedy,20/80,0,66.93607656192874,1.8256602527268515,0,-2.9934010000000004,32.429220778072356,29.448076690687795
8000,0.7,100% Eps-Greedy,20/80,0,66.86442289985882,1.8251951006064164,0,-2.9934010000000004,32.429220778072356,29.448076690687795
12000,0.7,100% Eps-Greedy,20/80,0,66.57114920732676,1.823286054174033,0,-2.9934010000000004,32.429220778072356,29.448076690687795
