Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
16000,0.7,60% Eps-Greedy / 40% Random,100/0,0,75.17329850589454,1.8760636069373209,0,0.2809960036898372,6.088645034601177,5.819905943526781
20000,0.7,60% Eps-Greedy / 40% Random,100/0,0,76.86128388269302,1.8857076345976516,0,0.2645101561166121,6.205957744154317,5.953704500653145
4000,0.9,60% Eps-Greedy / 40% Random,100/0,0,139.2530976507626,2.1438048647267007,0,0.26795646211270846,5.975691754327633,5.719992204830364
8000,0.9,60% Eps-Greedy / 40% Random,100/0,0,133.9892609260079,2.1270699915926117,0,0.22083373943309695,6.618612668048527,6.4100358412308704
12000,0.9,60% Eps-Greedy / 40% Random,100/0,0,157.2706850693489,2.196647778573124,0,0.2520627344531986,5.372877663665162,5.1330718418274035
16000,0.9,60% Eps-Greedy / 40% Random,100/0,0,154.5476289200573,2.189062346475775,0,0.23859879844939494,6.065507042681176,5.839165156847221
20000,0.9,60% Eps-Greedy / 40% Random,100/0,0,148.75252831144758,2.172464356063637,0,0.2629347941380621,6.539477627117871,6.28879974559525
4000,0.1,40% Eps-Greedy / 60% Random,100/0,0,76.14603150611741,1.8816472741867627,0,0.3091244350669016,7.2829394856445955,6.986071963193135
8000,0.1,40% Eps-Greedy / 60% Random,100/0,0,77.99842485260005,1.8920858323734127,0,0.3051930387423807,6.186788476003011,5.89385234987607
12000,0.1,40% Eps-Greedy / 60% Random,100/0,0,71.88209745906029,1.856620740969016,0,0.2971189301594598,6.421836136603899,6.13697411905988
16000,0.1,40% Eps-Greedy / 60% Random,100/0,0,71.56251235852343,1.8546855790206886,0,0.32017618444306134,6.621453350447002,6.313534078619381
20000,0.1,40% Eps-Greedy / 60% Random,100/0,0,70.94729411135077,1.8509358363696937,0,0.30902349193771883,6.341193802704019,6.0444272233817395
4000,0.3,40% Eps-Greedy / 60% Random,100/0,0,68.54043623983883,1.8359468642600558,0,0.30891465089079284,7.01310005226423,6.7164423139888765
8000,0.3,40% Eps-Greedy / 60% Random,100/0,0,70.04686868958159,1.8453887257569612,0,0.326272538602619,6.873019200738112,6.559003574750934
12000,0.3,40% Eps-Greedy / 60% Random,100/0,0,68.82949703168984,1.8377745959788419,0,0.3142574792070079,6.831898778715025,6.529898212123457
16000,0.3,40% Eps-Greedy / 60% Random,100/0,0,69.05423259628836,1.8391903032893941,0,0.3143425780794138,6.78101274830706,6.478927082843088
20000,0.3,40% Eps-Greedy / 60% Random,100/0,0,68.64185345175099,1.836589001720025,0,0.3000319298494104,6.501800803787586,6.2140257865536155
4000,0.5,40% Eps-Greedy / 60% Random,100/0,0,68.23292196043998,1.8339939696109018,0,0.3468319734715703,8.723116760933987,8.388541700077857
8000,0.5,40% Eps-Greedy / 60% Random,100/0,0,70.14341731851022,1.8459869204622048,0,0.2988922854781039,5.968386570334264,5.6817511974716
12000,0.5,40% Eps-Greedy / 60% Random,100/0,0,69.89068574576393,1.844419301657688,0,0.3024646523653525,6.589714357457787,6.299506617707875
16000,0.5,40% Eps-Greedy / 60% Random,100/0,0,69.70599591946423,1.843270136530431,0,0.32738200420926117,6.71050517041873,6.3953800788249096
20000,0.5,40% Eps-Greedy / 60% Random,100/0,0,69.21940063956885,1.8402278344834648,0,0.30250453506956587,6.32642019475849,6.036172572304364
4000,0.7,40% Eps-Greedy / 60% Random,100/0,0,77.33521185330153,1.8883772795800442,0,0.27854852895608295,5.131985938262238,4.865694321921594
8000,0.7,40% Eps-Greedy / 60% Random,100/0,0,81.74100176223003,1.9124399558265506,0,0.301731308450144,6.372871277547097,6.083396881712394
12000,0.7,40% Eps-Greedy / 60% Random,100/0,0,82.93596557073734,1.9187429052384886,0,0.28007977920332566,6.16684387300765,5.899021006419765
16000,0.7,40% Eps-Greedy / 60% Random,100/0,0,81.73063519762695,1.9123848742002432,0,0.31126135233676155,6.505006262134255,6.206001822412933
20000,0.7,40% Eps-Greedy / 60% Random,100/0,0,79.47437732917233,1.9002271339625405,0,0.2783043868529325,6.152216420132204,5.8861689458947115
4000,0.9,40% Eps-Greedy / 60% Random,100/0,0,152.28040727346624,2.182644029663097,0,0.23142063379465308,4.797811893969078,4.578648172789865
8000,0.9,40% Eps-Greedy / 60% Random,100/0,0,116.488187993651,2.0662818897461026,0,0.2215365324884404,6.642646835906815,6.4333672160338145
12000,0.9,40% Eps-Greedy / 60% Random,100/0,0,158.62451367776052,2.2003703036141005,0,0.21347571831114243,5.788711549052551,5.587492743356849
16000,0.9,40% Eps-Greedy / 60% Random,100/0,0,163.9649332826177,2.2147509766436535,0,0.23732934139511788,5.317978610222019,5.092906181442341
20000,0.9,40% Eps-Greedy / 60% Random,100/0,0,158.15444076385594,2.199081390827534,0,0.25093130324193685,6.571503360636798,6.332828970010301
4000,0.1,20% Eps-Greedy / 80% Random,100/0,0,98.22752936045612,1.9922332207177016,0,0.2601712548056438,4.976950662719064,4.72903632052886
8000,0.1,20% Eps-Greedy / 80% Random,100/0,0,75.85401652862684,1.8799785819590806,0,0.2506075046127945,5.6252872229832604,5.386936630985905
12000,0.1,20% Eps-Greedy / 80% Random,100/0,0,79.97448715781684,1.9029514638202978,0,0.26753996757511916,5.2864578014663985,5.031174746506719
16000,0.1,20% Eps-Greedy / 80% Random,100/0,0,76.20877316136995,1.8820049702405428,0,0.27607769530520154,5.707415600613712,5.44359481792395
20000,0.1,20% Eps-Greedy / 80% Random,100/0,0,82.38550452195632,1.9158508056301935,0,0.26531301752124437,5.41670112201661,5.163645017110806
4000,0.3,20% Eps-Greedy / 80% Random,100/0,0,82.72688909326439,1.9176466931895595,0,0.30147244673714096,7.877574389802211,7.588358855680511
8000,0.3,20% Eps-Greedy / 80% Random,100/0,0,71.01987500838234,1.8513799036285423,0,0.24320102083645012,6.40685615394901,6.1759120457279995
12000,0.3,20% Eps-Greedy / 80% Random,100/0,0,71.01372749046524,1.851342309241531,0,0.2741159572099043,6.850886277818401,6.589027233223937
16000,0.3,20% Eps-Greedy / 80% Random,100/0,0,71.26430172232895,1.8528720340953162,0,0.27913143379157734,6.484933589790888,6.218059068614751
20000,0.3,20% Eps-Greedy / 80% Random,100/0,0,70.43763854026332,1.8478047875830863,0,0.2729598256130637,6.563124847251311,6.302421934253687
