Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
12000,0.1,40% Eps-Greedy / 60% Random,100/0,0.0,65.79158435954585,0,-0.1,0.1949846386323551,0.09749231931617752
16000,0.1,40% Eps-Greedy / 60% Random,100/0,0.0,65.92753880628909,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
20000,0.1,40% Eps-Greedy / 60% Random,100/0,0.0,65.8115903027917,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.3,40% Eps-Greedy / 60% Random,100/0,0.0,65.9931309053866,0,-0.1,0.1949846386323551,0.09749231931617752
8000,0.3,40% Eps-Greedy / 60% Random,100/0,0.0,65.963219034744,0,-0.1,0.3899692772647103,0.2924769579485327
12000,0.3,40% Eps-Greedy / 60% Random,100/0,0.0,65.8879267954075,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
16000,0.3,40% Eps-Greedy / 60% Random,100/0,0.0,65.96145079146015,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
20000,0.3,40% Eps-Greedy / 60% Random,100/0,0.0,65.97343402417862,0,-0.1,0.1949846386323551,0.09749231931617752
4000,0.5,40% Eps-Greedy / 60% Random,100/0,0.0,66.325042029895,0,-0.1,0.3899692772647103,0.2924769579485327
8000,0.5,40% Eps-Greedy / 60% Random,100/0,0.0,65.99789775671461,0,-0.1,0.3899692772647103,0.2924769579485327
12000,0.5,40% Eps-Greedy / 60% Random,100/0,0.0,66.29265340147029,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
16000,0.5,40% Eps-Greedy / 60% Random,100/0,0.0,66.29320007025024,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.5,40% Eps-Greedy / 60% Random,100/0,0.0,66.20981206099998,0,-0.1,0.1949846386323551,0.09749231931617752
4000,0.7,40% Eps-Greedy / 60% Random,100/0,0.0,69.3498098123388,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.7,40% Eps-Greedy / 60% Random,100/0,0.0,74.09615945373528,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.7,40% Eps-Greedy / 60% Random,100/0,0.0,68.91112938011824,0,-0.1,0.1949846386323551,0.09749231931617752
16000,0.7,40% Eps-Greedy / 60% Random,100/0,0.0,67.99578957645129,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.7,40% Eps-Greedy / 60% Random,100/0,0.0,68.76157826788074,0,-0.1,0.1949846386323551,0.09749231931617752
4000,0.9,40% Eps-Greedy / 60% Random,100/0,0.0,90.06214007550656,0,-0.1,3.3815908979831306,3.2840985786669528
8000,0.9,40% Eps-Greedy / 60% Random,100/0,0.0,83.18705515407567,0,-0.1,3.283438271599837,3.1859459522836593
12000,0.9,40% Eps-Greedy / 60% Random,100/0,0.0,80.69000880432915,0,-1.6376719208410009,7.0092992614198515,5.374135021262674
16000,0.9,40% Eps-Greedy / 60% Random,100/0,0.0,100.71658986575618,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.9,40% Eps-Greedy / 60% Random,100/0,0.0,90.56082197494155,0,-0.1,2.339815663588262,2.242323344272084
4000,0.1,20% Eps-Greedy / 80% Random,100/0,0.0,68.00111121556877,0,-0.1,1.4623847897426638,1.364892470426486
8000,0.1,20% Eps-Greedy / 80% Random,100/0,0.0,66.96676632565216,0,-0.1,1.4623847897426638,1.364892470426486
12000,0.1,20% Eps-Greedy / 80% Random,100/0,0.0,67.40861174224497,0,-0.1,2.5833476200357532,2.4858553007195754
16000,0.1,20% Eps-Greedy / 80% Random,100/0,0.0,67.21172177260777,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.1,20% Eps-Greedy / 80% Random,100/0,0.0,66.81846723733071,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.3,20% Eps-Greedy / 80% Random,100/0,0.0,67.26735776354043,0,-0.1,1.9633583015526617,1.865865982236484
8000,0.3,20% Eps-Greedy / 80% Random,100/0,0.0,66.91439218744357,0,-0.1,0.3899692772647103,0.2924769579485327
12000,0.3,20% Eps-Greedy / 80% Random,100/0,0.0,67.07256991873426,0,-0.1,1.169907831794131,1.0724155124779533
16000,0.3,20% Eps-Greedy / 80% Random,100/0,0.0,67.37862042438253,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.3,20% Eps-Greedy / 80% Random,100/0,0.0,67.06064420648362,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.5,20% Eps-Greedy / 80% Random,100/0,0.0,68.62221378873082,0,-0.1,1.4623847897426638,1.364892470426486
8000,0.5,20% Eps-Greedy / 80% Random,100/0,0.0,67.50024066595064,0,-0.1,0.1949846386323551,0.09749231931617752
12000,0.5,20% Eps-Greedy / 80% Random,100/0,0.0,67.82732652924197,0,-0.1,0.1949846386323551,0.09749231931617752
